filing_id,company_id,filing_date,filing_type,jurisdiction,summary_text,status,reviewer_notes,impact_on_trading
RF013,C012,2026-05-01,blue_sky_filing,Ontario_CSA,"Transfer restriction update filed reflecting amendment to SpaceX Shareholders Agreement Section 4(c). Previous restriction: 12-month lock-up post-vesting for all employee shareholders. Amended restriction: 6-month lock-up for employees with 3+ years tenure. Affects approximately 47 shareholders with aggregate holdings of 40,174,000 shares. Effective date: 2025-10-12. Platform listings updated to reflect new eligibility.",under_review,Flagged for enhanced review due to aggregate offering size exceeding $10M threshold.,no_impact
RF014,C009,2026-03-22,transfer_restriction_update,British_Columbia,"Blue sky notice filing for secondary transactions in Stripe shares to be offered to residents of Delaware. Filing made under the state's uniform limited offering exemption. Transaction details: up to 93 investors, maximum aggregate offering of $24,465,000. Consent from issuer obtained. Broker-dealer registration confirmed in jurisdiction.",filed,Reviewed and acknowledged. No further action required from filer.,volume_cap_applied
RF015,C006,2026-06-23,reg_d_amendment,SEC_Federal,ROFR waiver documentation filed. Wiz board of directors unanimously waived Right of First Refusal for secondary transfer of 69 shares from shareholder Marcus Murphy to qualified buyer sourced through HIIVE platform. Waiver effective for 45 days from 2026-05-30. Standard transfer restrictions and information rights remain in effect. Company counsel opinion letter attached.,approved,Expedited review completed due to time-sensitive transaction deadline.,no_impact
RF016,C012,2025-09-17,blue_sky_filing,SEC_Federal,"Form D filing submitted to SEC for exempt offering under Rule 506(b) of Regulation D. Anduril is conducting a secondary transaction facilitated through HIIVE platform. Total offering amount: $40,316,000. Number of investors solicited: 121. All purchasers are accredited investors as defined under Rule 501(a). No general solicitation employed. Filing covers transactions expected to close between 2026-05-18 and 2025-06-27.",amendment_required,Flagged for enhanced review due to aggregate offering size exceeding $10M threshold.,trading_suspended
RF017,C012,2025-07-01,reg_d_amendment,Delaware,"Regulation D Rule 506(c) offering filing. General solicitation permitted - verified accredited investor status for all 20 purchasers through third-party verification service. SpaceX secondary shares offered exclusively through HIIVE platform. Total offering: $4,173,000. Verification methods used: income verification (IRS transcript), net worth verification (CPA attestation), and professional certification (Series 7/65 holders).",filed,Minor discrepancy in investor count noted. Verbal confirmation accepted.,restricted_to_QIBs
RF018,C015,2025-06-23,rofr_waiver,British_Columbia,"Form D filing submitted to SEC for exempt offering under Rule 506(b) of Regulation D. Scale AI is conducting a secondary transaction facilitated through HIIVE platform. Total offering amount: $27,787,000. Number of investors solicited: 20. All purchasers are accredited investors as defined under Rule 501(a). No general solicitation employed. Filing covers transactions expected to close between 2025-03-08 and 2025-07-17.",approved,No issues identified. Standard processing timeline applies.,restricted_to_QIBs
RF019,C010,2025-07-23,transfer_restriction_update,Massachusetts,"Regulation D Rule 506(c) offering filing. General solicitation permitted - verified accredited investor status for all 5 purchasers through third-party verification service. Databricks secondary shares offered exclusively through HIIVE platform. Total offering: $42,135,000. Verification methods used: income verification (IRS transcript), net worth verification (CPA attestation), and professional certification (Series 7/65 holders).",amendment_required,Approved pending receipt of updated legal opinion letter within 15 business days.,no_impact
RF020,C010,2026-04-20,form_d,Delaware,"Amendment to existing Form D filing (File No. 021-903966) to update total amount sold. Previous reported amount: $48,311,000. Revised amount: $6,163,000 reflecting additional secondary trades completed in Q2 2025. No change to investor count or offering terms. Amendment filed within required 30-day window.",under_review,Expedited review completed due to time-sensitive transaction deadline.,no_impact
RF021,C015,2025-09-10,blue_sky_filing,New_York,"Blue sky notice filing for secondary transactions in Anthropic shares to be offered to residents of Delaware. Filing made under the state's uniform limited offering exemption. Transaction details: up to 78 investors, maximum aggregate offering of $3,995,000. Consent from issuer obtained. Broker-dealer registration confirmed in jurisdiction.",under_review,Reviewed and acknowledged. No further action required from filer.,trading_suspended
RF022,C005,2025-09-23,transfer_restriction_update,Texas,ROFR waiver documentation filed. SpaceX board of directors unanimously waived Right of First Refusal for secondary transfer of 98 shares from shareholder Brian Lee to qualified buyer sourced through HIIVE platform. Waiver effective for 45 days from 2025-12-24. Standard transfer restrictions and information rights remain in effect. Company counsel opinion letter attached.,acknowledged,Cross-referenced with prior filings. Consistent with historical activity.,new_exemption_available
RF023,C004,2026-03-21,blue_sky_filing,Ontario_CSA,"Canadian Securities Administrators (CSA) exemption report filed under National Instrument 45-106, Section 2.3 (accredited investor exemption). Cross-border secondary trade of Wiz shares involving Canadian accredited investor. Trade value: CAD $46,352,000. Exemption report filed within required 10-day period post-closing. Ontario Securities Commission acknowledged receipt.",under_review,No issues identified. Standard processing timeline applies.,no_impact
RF024,C009,2025-07-10,csa_exemption,California,"Quarterly regulatory compliance report submitted to FINRA. Platform trading activity summary for Q1 2025: 101 completed transactions, $24,897,000 total notional value, zero customer complaints, zero regulatory actions. AML program independent review completed with no material findings. Updated supervisory procedures effective 2025-02-04.",approved,Expedited review completed due to time-sensitive transaction deadline.,restricted_to_QIBs
RF025,C006,2025-04-13,reg_d_amendment,British_Columbia,ROFR waiver documentation filed. Databricks board of directors unanimously waived Right of First Refusal for secondary transfer of 52 shares from shareholder Julia Lee to qualified buyer sourced through HIIVE platform. Waiver effective for 45 days from 2025-01-23. Standard transfer restrictions and information rights remain in effect. Company counsel opinion letter attached.,approved,Approved pending receipt of updated legal opinion letter within 15 business days.,trading_suspended
