ticket_id,user_id,created_date,category,priority,description_text,resolution_text,status,resolution_days
TK011,U006,2025-05-02,transfer_delay,medium,I accidentally listed my shares at $74 instead of $138 (mistyped the price). A buyer immediately matched the listing. Is there any way to cancel or modify the trade before settlement? I realize the platform terms may not allow this but the price difference is significant.,"Reviewed account tier and confirmed institutional rate should apply. Commission recalculated from 4.0% to 1.5%, resulting in a credit of $4,922 applied to client's account. Updated account settings to prevent future billing discrepancies. Confirmed with finance team.",resolved,4
TK012,U001,2026-05-16,trade_execution,medium,"Getting a timeout error every time I try to submit a bid over $500K. The page loads fine for smaller amounts. I've tried Chrome, Safari, and Firefox. I have a screenshot of the error. This has been happening since 2026-04-01. My internet connection is fine for other sites.",,in_progress,
TK013,U026,2025-03-22,compliance_question,high,My accreditation verification has been pending for over two weeks. I uploaded my CPA letter and last two years of tax returns on 2025-12-10. I need this resolved urgently as there's a listing for Anthropic shares expiring in 5 days that I want to bid on. Currently showing 'Under Review' status.,,in_progress,
TK014,U021,2025-01-09,account_verification,low,My settlement has been delayed beyond the T+3 window. Trade was executed on 2025-09-29 for 15431 shares of SpaceX at $97/share. It's now been 8 business days with no settlement. The counterparty's transfer agent apparently needs additional documentation. What's the standard process here?,Reconciliation complete. The discrepancy was due to the 3:1 stock split not being reflected in the transfer agent records synced to our platform. Updated share count to 42600 shares. Confirmed with transfer agent that records now match. No action needed from shareholder.,resolved,8
TK015,U018,2025-08-02,compliance_question,low,My settlement has been delayed beyond the T+3 window. Trade was executed on 2026-01-25 for 46087 shares of Anthropic at $140/share. It's now been 8 business days with no settlement. The counterparty's transfer agent apparently needs additional documentation. What's the standard process here?,Identified the issue - our payment processor has a single-transaction limit that was triggering the timeout. Engineering team deployed a fix to split large bids into batched settlement instructions. Client confirmed the issue is resolved. Added to known issues documentation.,resolved,9
TK016,U016,2025-10-30,trade_execution,medium,"Getting a timeout error every time I try to submit a bid over $500K. The page loads fine for smaller amounts. I've tried Chrome, Safari, and Firefox. I have a screenshot of the error. This has been happening since 2025-09-11. My internet connection is fine for other sites.",Confirmed with SpaceX legal team that this is a partial ROFR exercise. The company is exercising on 27089 of the listed 47191 shares. Remaining shares will proceed to the original buyer. Updated listing status and notified both parties of the split transaction.,resolved,11
TK017,U008,2025-01-30,transfer_delay,medium,"I'm trying to understand the pricing difference between the 409A valuation shown ($182/share) and the current ask prices on the marketplace ($230/share). Is there a way to see historical pricing trends? Also, what's the typical discount/premium to 409A for Anthropic shares?",Identified the issue - our payment processor has a single-transaction limit that was triggering the timeout. Engineering team deployed a fix to split large bids into batched settlement instructions. Client confirmed the issue is resolved. Added to known issues documentation.,resolved,7
TK018,U008,2025-06-20,platform_issue,medium,My accreditation verification has been pending for over two weeks. I uploaded my CPA letter and last two years of tax returns on 2025-05-13. I need this resolved urgently as there's a listing for Databricks shares expiring in 5 days that I want to bid on. Currently showing 'Under Review' status.,Escalated to verification team. The delay was caused by the CPA letter being partially illegible (scan quality issue). Contacted client and received a clearer copy. Accreditation verified and approved within 24 hours of receiving updated documentation. Client can now bid on listings.,resolved,6
TK019,U018,2025-07-23,account_verification,high,My settlement has been delayed beyond the T+3 window. Trade was executed on 2025-06-15 for 48043 shares of Databricks at $189/share. It's now been 8 business days with no settlement. The counterparty's transfer agent apparently needs additional documentation. What's the standard process here?,Investigated the trade matching system and found the confirmation email was blocked by the client's corporate spam filter. Trade T-986552 was successfully matched and is proceeding to settlement on schedule. Resent confirmation to alternate email. Provided direct link to trade status in portfolio.,resolved,5
TK020,U001,2025-08-24,compliance_question,high,"I'm trying to understand the pricing difference between the 409A valuation shown ($213/share) and the current ask prices on the marketplace ($225/share). Is there a way to see historical pricing trends? Also, what's the typical discount/premium to 409A for Wiz shares?",Escalated to verification team. The delay was caused by the CPA letter being partially illegible (scan quality issue). Contacted client and received a clearer copy. Accreditation verified and approved within 24 hours of receiving updated documentation. Client can now bid on listings.,resolved,14
