review_id,entity_id,review_date,reviewer_id,review_type,findings_text,risk_score,outcome,follow_up_required
CR011,B009,2025-04-10,REV04,kyc_renewal,"AML monitoring flagged unusual pattern: multiple small-lot purchases across three separate listings within 48-hour window totaling $301,000. Investigation revealed subject is dollar-cost averaging into a position ahead of anticipated IPO. Transaction pattern consistent with stated investment strategy. No structuring indicators present. Cleared after enhanced review of source of funds.",0.09,approved,FALSE
CR012,B006,2025-07-08,REV04,transfer_review,"Enhanced due diligence triggered by cross-border transaction. Buyer entity domiciled in Singapore with beneficial ownership traced to individual verified through local KYC partner. FATCA classification: Non-participating FFI exemption applies. No OFAC/SDN matches. Wire instructions verified through callback procedure. Transaction value $3,697,000 within normal parameters for institutional buyer.",0.56,approved,TRUE
CR013,SH011,2026-06-08,REV04,accreditation_check,"Quarterly AML review of high-volume trader. Subject executed 16 trades totaling $2,471,000 over review period. All transactions supported by documented investment thesis. Source of funds traced to verified angel investment fund with proper LP documentation. Trading patterns consistent with portfolio rebalancing strategy. No red flags identified.",0.58,approved,TRUE
CR014,B005,2026-03-03,REV07,kyc_renewal,Subject completed standard KYC verification. Government-issued photo ID verified against third-party database. Proof of address confirmed via utility statement dated within 90 days. No adverse media findings. PEP screening returned negative. Source of funds documentation reviewed - shares acquired through employment equity compensation plan at Databricks. All documentation meets regulatory requirements for qualified purchaser status.,0.51,approved,FALSE
CR015,SH003,2025-12-30,REV03,accreditation_check,"Quarterly AML review of high-volume trader. Subject executed 21 trades totaling $174,000 over review period. All transactions supported by documented investment thesis. Source of funds traced to verified angel investment fund with proper LP documentation. Trading patterns consistent with portfolio rebalancing strategy. No red flags identified.",0.73,conditionally_approved,FALSE
CR016,B009,2026-02-04,REV02,kyc_renewal,Accreditation renewal review. Subject previously verified as accredited investor based on income threshold ($200K+ individual). Updated tax documentation for current year confirms continued eligibility. Net worth verification via brokerage statements shows liquid assets exceeding $1M excluding primary residence. Renewal approved for 24-month period.,0.27,rejected,FALSE
CR017,B001,2025-03-11,REV08,accreditation_check,"Quarterly AML review of high-volume trader. Subject executed 9 trades totaling $1,577,000 over review period. All transactions supported by documented investment thesis. Source of funds traced to verified angel investment fund with proper LP documentation. Trading patterns consistent with portfolio rebalancing strategy. No red flags identified.",0.61,conditionally_approved,FALSE
CR018,B013,2026-02-18,REV02,kyc_initial,Subject completed standard KYC verification. Government-issued photo ID verified against third-party database. Proof of address confirmed via utility statement dated within 90 days. No adverse media findings. PEP screening returned negative. Source of funds documentation reviewed - shares acquired through employment equity compensation plan at SpaceX. All documentation meets regulatory requirements for qualified purchaser status.,0.8,approved,TRUE
CR019,SH016,2025-04-18,REV03,accreditation_check,"Suspicious activity review initiated after tip from compliance monitoring. Subject attempted to list shares at significantly below market price (40% discount to last 409A). Investigation determined seller is in financial distress and seeking rapid liquidity. No evidence of market manipulation or insider trading. Pricing reflects urgency premium, not information asymmetry. Filed internal memo, no SAR warranted.",0.73,approved,FALSE
CR020,B014,2025-01-31,REV03,aml_flag,"AML monitoring flagged unusual pattern: multiple small-lot purchases across three separate listings within 48-hour window totaling $3,193,000. Investigation revealed subject is dollar-cost averaging into a position ahead of anticipated IPO. Transaction pattern consistent with stated investment strategy. No structuring indicators present. Cleared after enhanced review of source of funds.",0.25,approved,FALSE
CR021,SH015,2025-07-26,REV03,accreditation_check,"Initial KYC for institutional buyer. Entity is a registered investment advisor (SEC File No. verified). Fund documentation includes PPM, LP agreement, and most recent audited financials. Authorized signatory confirmed via corporate resolution. Qualified institutional buyer (QIB) status verified - manages $100M+ in securities. Expedited approval granted.",0.08,approved,TRUE
CR022,SH024,2026-02-22,REV02,aml_flag,Accreditation renewal review. Subject previously verified as accredited investor based on income threshold ($200K+ individual). Updated tax documentation for current year confirms continued eligibility. Net worth verification via brokerage statements shows liquid assets exceeding $1M excluding primary residence. Renewal approved for 24-month period.,0.71,conditionally_approved,FALSE
CR023,B015,2025-05-22,REV02,accreditation_check,"Suspicious activity review initiated after tip from compliance monitoring. Subject attempted to list shares at significantly below market price (40% discount to last 409A). Investigation determined seller is in financial distress and seeking rapid liquidity. No evidence of market manipulation or insider trading. Pricing reflects urgency premium, not information asymmetry. Filed internal memo, no SAR warranted.",0.29,approved,TRUE
CR024,SH004,2025-12-05,REV01,kyc_renewal,"Enhanced due diligence triggered by cross-border transaction. Buyer entity domiciled in Singapore with beneficial ownership traced to individual verified through local KYC partner. FATCA classification: Non-participating FFI exemption applies. No OFAC/SDN matches. Wire instructions verified through callback procedure. Transaction value $3,298,000 within normal parameters for institutional buyer.",0.82,approved,TRUE
CR025,B009,2026-05-28,REV05,accreditation_check,Transfer review for founder shares with additional restrictions. Reviewed SHA (Shareholders Agreement) Section 4.2 regarding founder lockup provisions. Subject completed 4-year service requirement. Board consent obtained via unanimous written consent dated 2025-04-24. Drag-along and tag-along rights do not apply to partial sales under 5% of outstanding. Legal opinion letter obtained from company counsel. Transfer cleared with standard 10-day settlement.,0.57,approved,FALSE
CR026,SH017,2025-07-25,REV06,kyc_initial,Accreditation renewal review. Subject previously verified as accredited investor based on income threshold ($200K+ individual). Updated tax documentation for current year confirms continued eligibility. Net worth verification via brokerage statements shows liquid assets exceeding $1M excluding primary residence. Renewal approved for 24-month period.,0.44,rejected,TRUE
CR027,SH023,2025-03-14,REV07,transfer_review,Transfer review for founder shares with additional restrictions. Reviewed SHA (Shareholders Agreement) Section 4.2 regarding founder lockup provisions. Subject completed 4-year service requirement. Board consent obtained via unanimous written consent dated 2026-05-06. Drag-along and tag-along rights do not apply to partial sales under 5% of outstanding. Legal opinion letter obtained from company counsel. Transfer cleared with standard 10-day settlement.,0.63,approved,FALSE
CR028,B008,2025-08-19,REV06,accreditation_check,"Quarterly AML review of high-volume trader. Subject executed 5 trades totaling $1,965,000 over review period. All transactions supported by documented investment thesis. Source of funds traced to verified angel investment fund with proper LP documentation. Trading patterns consistent with portfolio rebalancing strategy. No red flags identified.",0.67,rejected,FALSE
CR029,B019,2025-01-19,REV08,kyc_initial,"Suspicious activity review initiated after tip from compliance monitoring. Subject attempted to list shares at significantly below market price (40% discount to last 409A). Investigation determined seller is in financial distress and seeking rapid liquidity. No evidence of market manipulation or insider trading. Pricing reflects urgency premium, not information asymmetry. Filed internal memo, no SAR warranted.",0.16,approved,FALSE
CR030,SH023,2025-07-18,REV06,accreditation_check,Subject completed standard KYC verification. Government-issued photo ID verified against third-party database. Proof of address confirmed via utility statement dated within 90 days. No adverse media findings. PEP screening returned negative. Source of funds documentation reviewed - shares acquired through employment equity compensation plan at SpaceX. All documentation meets regulatory requirements for qualified purchaser status.,0.38,rejected,TRUE
CR031,SH001,2025-09-13,REV01,kyc_initial,Subject completed standard KYC verification. Government-issued photo ID verified against third-party database. Proof of address confirmed via utility statement dated within 90 days. No adverse media findings. PEP screening returned negative. Source of funds documentation reviewed - shares acquired through employment equity compensation plan at SpaceX. All documentation meets regulatory requirements for qualified purchaser status.,0.3,conditionally_approved,TRUE
CR032,SH019,2025-05-13,REV07,accreditation_check,"AML monitoring flagged unusual pattern: multiple small-lot purchases across three separate listings within 48-hour window totaling $725,000. Investigation revealed subject is dollar-cost averaging into a position ahead of anticipated IPO. Transaction pattern consistent with stated investment strategy. No structuring indicators present. Cleared after enhanced review of source of funds.",0.61,rejected,TRUE
CR033,B004,2025-11-06,REV06,transfer_review,"Enhanced due diligence triggered by cross-border transaction. Buyer entity domiciled in Singapore with beneficial ownership traced to individual verified through local KYC partner. FATCA classification: Non-participating FFI exemption applies. No OFAC/SDN matches. Wire instructions verified through callback procedure. Transaction value $4,415,000 within normal parameters for institutional buyer.",0.45,approved,FALSE
CR034,B015,2026-05-13,REV05,kyc_initial,"Transfer restriction review for SpaceX shares. ROFR (Right of First Refusal) waiver obtained from company counsel dated 2025-08-25. Lock-up period expired 12 months ago. No transfer agent holds or legends requiring removal. Company board approval not required for transfers under 50,000 shares. Transfer cleared to proceed.",0.22,approved,TRUE
CR035,SH003,2025-08-29,REV08,accreditation_check,"AML monitoring flagged unusual pattern: multiple small-lot purchases across three separate listings within 48-hour window totaling $4,187,000. Investigation revealed subject is dollar-cost averaging into a position ahead of anticipated IPO. Transaction pattern consistent with stated investment strategy. No structuring indicators present. Cleared after enhanced review of source of funds.",0.52,approved,TRUE
CR036,SH004,2025-10-13,REV07,accreditation_check,Subject completed standard KYC verification. Government-issued photo ID verified against third-party database. Proof of address confirmed via utility statement dated within 90 days. No adverse media findings. PEP screening returned negative. Source of funds documentation reviewed - shares acquired through employment equity compensation plan at Canva. All documentation meets regulatory requirements for qualified purchaser status.,0.21,approved,FALSE
CR037,B010,2025-02-23,REV05,kyc_initial,"Initial KYC for institutional buyer. Entity is a registered investment advisor (SEC File No. verified). Fund documentation includes PPM, LP agreement, and most recent audited financials. Authorized signatory confirmed via corporate resolution. Qualified institutional buyer (QIB) status verified - manages $100M+ in securities. Expedited approval granted.",0.22,approved,FALSE
CR038,B003,2025-02-28,REV02,transfer_review,"Suspicious activity review initiated after tip from compliance monitoring. Subject attempted to list shares at significantly below market price (40% discount to last 409A). Investigation determined seller is in financial distress and seeking rapid liquidity. No evidence of market manipulation or insider trading. Pricing reflects urgency premium, not information asymmetry. Filed internal memo, no SAR warranted.",0.63,rejected,FALSE
CR039,SH011,2026-01-26,REV08,kyc_renewal,Accreditation renewal review. Subject previously verified as accredited investor based on income threshold ($200K+ individual). Updated tax documentation for current year confirms continued eligibility. Net worth verification via brokerage statements shows liquid assets exceeding $1M excluding primary residence. Renewal approved for 24-month period.,0.67,approved,FALSE
CR040,SH003,2025-10-08,REV06,aml_flag,"Enhanced due diligence triggered by cross-border transaction. Buyer entity domiciled in Singapore with beneficial ownership traced to individual verified through local KYC partner. FATCA classification: Non-participating FFI exemption applies. No OFAC/SDN matches. Wire instructions verified through callback procedure. Transaction value $201,000 within normal parameters for institutional buyer.",0.58,rejected,TRUE
